artigo,capitulo_atual,tema,status,plc_arts,observacao
146,Tít. II — Cap. XVI,Limpeza dos terrenos,ALTERADO,91–101,"Obrigações mantidas (muro; drenagem; pragas); multa fixa de R$ 15.067,25 substituída por multa DIÁRIA de 380–432 UFESP; execução pela Prefeitura com taxa de 100% mantida"
147,Tít. II — Cap. XVI,Limpeza dos terrenos,ALTERADO,91–101,"Obrigações mantidas (muro; drenagem; pragas); multa fixa de R$ 15.067,25 substituída por multa DIÁRIA de 380–432 UFESP; execução pela Prefeitura com taxa de 100% mantida"
148,Tít. II — Cap. XVI,Limpeza dos terrenos,ALTERADO,91–101,"Obrigações mantidas (muro; drenagem; pragas); multa fixa de R$ 15.067,25 substituída por multa DIÁRIA de 380–432 UFESP; execução pela Prefeitura com taxa de 100% mantida"
149,Tít. II — Cap. XVI,Limpeza dos terrenos,ALTERADO,91–101,"Obrigações mantidas (muro; drenagem; pragas); multa fixa de R$ 15.067,25 substituída por multa DIÁRIA de 380–432 UFESP; execução pela Prefeitura com taxa de 100% mantida"
150,Tít. II — Cap. XVI,Limpeza dos terrenos,ALTERADO,91–101,"Obrigações mantidas (muro; drenagem; pragas); multa fixa de R$ 15.067,25 substituída por multa DIÁRIA de 380–432 UFESP; execução pela Prefeitura com taxa de 100% mantida"
151,Tít. II — Cap. XVI,Limpeza dos terrenos,ALTERADO,91–101,"Obrigações mantidas (muro; drenagem; pragas); multa fixa de R$ 15.067,25 substituída por multa DIÁRIA de 380–432 UFESP; execução pela Prefeitura com taxa de 100% mantida"
152,Tít. II — Cap. XVII,Cursos d'água e valas,CONDENSADO,102–104,Detalhes de capeamento e galerias suprimidos; autorização para intervenção em APP (novo)
153,Tít. II — Cap. XVII,Cursos d'água e valas,CONDENSADO,102–104,Detalhes de capeamento e galerias suprimidos; autorização para intervenção em APP (novo)
154,Tít. II — Cap. XVII,Cursos d'água e valas,CONDENSADO,102–104,Detalhes de capeamento e galerias suprimidos; autorização para intervenção em APP (novo)
155,Tít. II — Cap. XVII,Cursos d'água e valas,CONDENSADO,102–104,Detalhes de capeamento e galerias suprimidos; autorização para intervenção em APP (novo)
156,Tít. II — Cap. XVII,Cursos d'água e valas,CONDENSADO,102–104,Detalhes de capeamento e galerias suprimidos; autorização para intervenção em APP (novo)
157,Tít. II — Cap. XVII,Cursos d'água e valas,CONDENSADO,102–104,Detalhes de capeamento e galerias suprimidos; autorização para intervenção em APP (novo)
158,Tít. II — Cap. XVII,Cursos d'água e valas,CONDENSADO,102–104,Detalhes de capeamento e galerias suprimidos; autorização para intervenção em APP (novo)
159,Tít. II — Cap. XVII,Cursos d'água e valas,CONDENSADO,102–104,Detalhes de capeamento e galerias suprimidos; autorização para intervenção em APP (novo)
160,Tít. II — Cap. XVII,Cursos d'água e valas,CONDENSADO,102–104,Detalhes de capeamento e galerias suprimidos; autorização para intervenção em APP (novo)
161,Tít. II — Cap. XVII,Cursos d'água e valas,CONDENSADO,102–104,Detalhes de capeamento e galerias suprimidos; autorização para intervenção em APP (novo)
162,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
163,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
164,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
165,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
166,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
167,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
168,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
169,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
170,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
171,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
172,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
173,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
174,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
175,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
176,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
177,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
178,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
179,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
180,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
181,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
182,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
183,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
184,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
185,Tít. II — Cap. XVIII,Cemitérios,JA_REVOGADO,—,Capítulo quase todo já revogado (LC 712/2011); PLC não trata da matéria
186,Tít. III — Cap. I,Bem-estar público (disposição preliminar),ALTERADO,128,Mantido; suprimida a menção a nascituros/fumo por gestantes (LC 733/2011)
187,Tít. III — Cap. II,Moralidade pública,CONDENSADO,142,Censura a publicações obscenas desaparece; responsabilidade do vendedor de bebidas pela ordem mantida
188,Tít. III — Cap. II,Moralidade pública,CONDENSADO,142,Censura a publicações obscenas desaparece; responsabilidade do vendedor de bebidas pela ordem mantida
189,Tít. III — Cap. III,Respeito aos locais de culto,REVOGADO_SEM_CORRESPONDENTE,—,Proteção específica desaparece; sinos disciplinados no art. 138 IV do PLC
190,Tít. III — Cap. III,Respeito aos locais de culto,REVOGADO_SEM_CORRESPONDENTE,—,Proteção específica desaparece; sinos disciplinados no art. 138 IV do PLC
191,Tít. III — Cap. IV,Sossego público,ALTERADO,83–86; 137–143,Limites migram para NBR 10151/10152; rol de tolerâncias reescrito (carnaval; artistas de rua; cultos; obras 8h–18h); fogos de estampido seguem proibidos (139); apreensão de equipamentos
192,Tít. III — Cap. IV,Sossego público,ALTERADO,83–86; 137–143,Limites migram para NBR 10151/10152; rol de tolerâncias reescrito (carnaval; artistas de rua; cultos; obras 8h–18h); fogos de estampido seguem proibidos (139); apreensão de equipamentos
193,Tít. III — Cap. IV,Sossego público,ALTERADO,83–86; 137–143,Limites migram para NBR 10151/10152; rol de tolerâncias reescrito (carnaval; artistas de rua; cultos; obras 8h–18h); fogos de estampido seguem proibidos (139); apreensão de equipamentos
194,Tít. III — Cap. IV,Sossego público,ALTERADO,83–86; 137–143,Limites migram para NBR 10151/10152; rol de tolerâncias reescrito (carnaval; artistas de rua; cultos; obras 8h–18h); fogos de estampido seguem proibidos (139); apreensão de equipamentos
195,Tít. III — Cap. IV,Sossego público,ALTERADO,83–86; 137–143,Limites migram para NBR 10151/10152; rol de tolerâncias reescrito (carnaval; artistas de rua; cultos; obras 8h–18h); fogos de estampido seguem proibidos (139); apreensão de equipamentos
196,Tít. III — Cap. IV,Sossego público,ALTERADO,83–86; 137–143,Limites migram para NBR 10151/10152; rol de tolerâncias reescrito (carnaval; artistas de rua; cultos; obras 8h–18h); fogos de estampido seguem proibidos (139); apreensão de equipamentos
197,Tít. III — Cap. IV,Sossego público,ALTERADO,83–86; 137–143,Limites migram para NBR 10151/10152; rol de tolerâncias reescrito (carnaval; artistas de rua; cultos; obras 8h–18h); fogos de estampido seguem proibidos (139); apreensão de equipamentos
198,Tít. III — Cap. IV,Sossego público,ALTERADO,83–86; 137–143,Limites migram para NBR 10151/10152; rol de tolerâncias reescrito (carnaval; artistas de rua; cultos; obras 8h–18h); fogos de estampido seguem proibidos (139); apreensão de equipamentos
199,Tít. III — Cap. IV,Sossego público,ALTERADO,83–86; 137–143,Limites migram para NBR 10151/10152; rol de tolerâncias reescrito (carnaval; artistas de rua; cultos; obras 8h–18h); fogos de estampido seguem proibidos (139); apreensão de equipamentos
200,Tít. III — Cap. IV,Sossego público,ALTERADO,83–86; 137–143,Limites migram para NBR 10151/10152; rol de tolerâncias reescrito (carnaval; artistas de rua; cultos; obras 8h–18h); fogos de estampido seguem proibidos (139); apreensão de equipamentos
201,Tít. III — Cap. IV,Sossego público,ALTERADO,83–86; 137–143,Limites migram para NBR 10151/10152; rol de tolerâncias reescrito (carnaval; artistas de rua; cultos; obras 8h–18h); fogos de estampido seguem proibidos (139); apreensão de equipamentos
202,Tít. III — Cap. IV,Sossego público,ALTERADO,83–86; 137–143,Limites migram para NBR 10151/10152; rol de tolerâncias reescrito (carnaval; artistas de rua; cultos; obras 8h–18h); fogos de estampido seguem proibidos (139); apreensão de equipamentos
203,Tít. III — Cap. IV,Sossego público,ALTERADO,83–86; 137–143,Limites migram para NBR 10151/10152; rol de tolerâncias reescrito (carnaval; artistas de rua; cultos; obras 8h–18h); fogos de estampido seguem proibidos (139); apreensão de equipamentos
204,Tít. III — Cap. IV,Sossego público,ALTERADO,83–86; 137–143,Limites migram para NBR 10151/10152; rol de tolerâncias reescrito (carnaval; artistas de rua; cultos; obras 8h–18h); fogos de estampido seguem proibidos (139); apreensão de equipamentos
205,Tít. III — Cap. V (Seção I),Divertimentos e festejos públicos,CONDENSADO,144–145; 237–247,Licença prévia mantida; detalhes de ingressos e fantasias suprimidos
206,Tít. III — Cap. V (Seção I),Divertimentos e festejos públicos,CONDENSADO,144–145; 237–247,Licença prévia mantida; detalhes de ingressos e fantasias suprimidos
207,Tít. III — Cap. V (Seção I),Divertimentos e festejos públicos,CONDENSADO,144–145; 237–247,Licença prévia mantida; detalhes de ingressos e fantasias suprimidos
208,Tít. III — Cap. V (Seção I),Divertimentos e festejos públicos,CONDENSADO,144–145; 237–247,Licença prévia mantida; detalhes de ingressos e fantasias suprimidos
209,Tít. III — Cap. V (Seção I),Divertimentos e festejos públicos,CONDENSADO,144–145; 237–247,Licença prévia mantida; detalhes de ingressos e fantasias suprimidos
210,Tít. III — Cap. V (Seção I),Divertimentos e festejos públicos,CONDENSADO,144–145; 237–247,Licença prévia mantida; detalhes de ingressos e fantasias suprimidos
211,Tít. III — Cap. V (Seção I),Divertimentos e festejos públicos,CONDENSADO,144–145; 237–247,Licença prévia mantida; detalhes de ingressos e fantasias suprimidos
212,Tít. III — Cap. V (Seção I),Divertimentos e festejos públicos,CONDENSADO,144–145; 237–247,Licença prévia mantida; detalhes de ingressos e fantasias suprimidos
213,Tít. III — Cap. V (Seção II),Clubes esportivos amadores,REVOGADO_SEM_CORRESPONDENTE,—,Comissão Central de Esportes e registro de atletas desaparecem (regramento obsoleto)
214,Tít. III — Cap. V (Seção II),Clubes esportivos amadores,REVOGADO_SEM_CORRESPONDENTE,—,Comissão Central de Esportes e registro de atletas desaparecem (regramento obsoleto)
215,Tít. III — Cap. V (Seção II),Clubes esportivos amadores,REVOGADO_SEM_CORRESPONDENTE,—,Comissão Central de Esportes e registro de atletas desaparecem (regramento obsoleto)
216,Tít. III — Cap. V (Seção II),Clubes esportivos amadores,REVOGADO_SEM_CORRESPONDENTE,—,Comissão Central de Esportes e registro de atletas desaparecem (regramento obsoleto)
217,Tít. III — Cap. VI,Uso adequado das praias,ALTERADO,146–155,Prática esportiva remetida a decreto; proibição de equipamentos de som (148 IV); captura de Callichirus proibida (153; novo); barracas/tendas dependem de autorização; regramento geral por decreto (154)
218,Tít. III — Cap. VI,Uso adequado das praias,ALTERADO,146–155,Prática esportiva remetida a decreto; proibição de equipamentos de som (148 IV); captura de Callichirus proibida (153; novo); barracas/tendas dependem de autorização; regramento geral por decreto (154)
219,Tít. III — Cap. VI,Uso adequado das praias,ALTERADO,146–155,Prática esportiva remetida a decreto; proibição de equipamentos de som (148 IV); captura de Callichirus proibida (153; novo); barracas/tendas dependem de autorização; regramento geral por decreto (154)
220,Tít. III — Cap. VI,Uso adequado das praias,ALTERADO,146–155,Prática esportiva remetida a decreto; proibição de equipamentos de som (148 IV); captura de Callichirus proibida (153; novo); barracas/tendas dependem de autorização; regramento geral por decreto (154)
221,Tít. III — Cap. VI,Uso adequado das praias,ALTERADO,146–155,Prática esportiva remetida a decreto; proibição de equipamentos de som (148 IV); captura de Callichirus proibida (153; novo); barracas/tendas dependem de autorização; regramento geral por decreto (154)
222,Tít. III — Cap. VI,Uso adequado das praias,ALTERADO,146–155,Prática esportiva remetida a decreto; proibição de equipamentos de som (148 IV); captura de Callichirus proibida (153; novo); barracas/tendas dependem de autorização; regramento geral por decreto (154)
223,Tít. III — Cap. VII,Balneários e cabines,REVOGADO_SEM_CORRESPONDENTE,—,Sem correspondente
224,Tít. III — Cap. VII,Balneários e cabines,REVOGADO_SEM_CORRESPONDENTE,—,Sem correspondente
225,Tít. III — Cap. VIII (Seções I–II),Serviços e obras nos logradouros (225; 226; 226-A),ALTERADO,164–165,Licença prévia mantida; reparo emergencial com comunicação imediata; obrigações de concessionárias reforçadas no Tít. V Cap. IX
226,Tít. III — Cap. VIII (Seções I–II),Serviços e obras nos logradouros (225; 226; 226-A),ALTERADO,164–165,Licença prévia mantida; reparo emergencial com comunicação imediata; obrigações de concessionárias reforçadas no Tít. V Cap. IX
227,Tít. III — Cap. VIII (Seção II),Invasões e depredações,ALTERADO,169,Intimação prévia antes da demolição (novo)
228,Tít. III — Cap. VIII (Seção II),Invasões e depredações,ALTERADO,169,Intimação prévia antes da demolição (novo)
229,Tít. III — Cap. VIII (Seção III),Arborização pública,JA_REVOGADO,215–216,Já revogados pela LC 973/2017; PLC remete expressamente à LC 973/2017
230,Tít. III — Cap. VIII (Seção III),Arborização pública,JA_REVOGADO,215–216,Já revogados pela LC 973/2017; PLC remete expressamente à LC 973/2017
231,Tít. III — Cap. VIII (Seção IV),Tapumes; andaimes e materiais nos passeios,REVOGADO_SEM_CORRESPONDENTE,—,Matéria do Código de Edificações [Verificar]
232,Tít. III — Cap. VIII (Seção IV),Tapumes; andaimes e materiais nos passeios,REVOGADO_SEM_CORRESPONDENTE,—,Matéria do Código de Edificações [Verificar]
233,Tít. III — Cap. VIII (Seção V),Mesas e cadeiras em passeios,CONDENSADO,174,"Regra específica (faixa livre de 1,50 m) desaparece; ocupação genérica autorizada a título precário"
234,Tít. III — Cap. VIII (Seção V),Mesas e cadeiras em passeios,CONDENSADO,174,"Regra específica (faixa livre de 1,50 m) desaparece; ocupação genérica autorizada a título precário"
235,Tít. III — Cap. VIII (Seção VI),Coretos e palanques,CONDENSADO,144; 174,Absorvido pela licença de eventos e ocupação temporária
236,Tít. III — Cap. VIII (Seção VII),Barracas,CONDENSADO,173,Barracas juninas de fogos desaparecem (coerente com a proibição de fogos de estampido)
237,Tít. III — Cap. VIII (Seção VII),Barracas,CONDENSADO,173,Barracas juninas de fogos desaparecem (coerente com a proibição de fogos de estampido)
238,Tít. III — Cap. VIII (Seção VII),Barracas,CONDENSADO,173,Barracas juninas de fogos desaparecem (coerente com a proibição de fogos de estampido)
239,Tít. III — Cap. VIII (Seção VII),Barracas,CONDENSADO,173,Barracas juninas de fogos desaparecem (coerente com a proibição de fogos de estampido)
240,Tít. III — Cap. VIII (Seção VII),Barracas,CONDENSADO,173,Barracas juninas de fogos desaparecem (coerente com a proibição de fogos de estampido)
241,Tít. III — Cap. IX,Publicidade e propaganda (241–249; 249-A; 249-B),CONDENSADO,179–183,De ~20 artigos para 5; limite de 25% da fachada e prazos de licença suprimidos; colagem em postes/árvores proibida (180); panfletos em residências vedados (182); multa ao anunciante
242,Tít. III — Cap. IX,Publicidade e propaganda (241–249; 249-A; 249-B),CONDENSADO,179–183,De ~20 artigos para 5; limite de 25% da fachada e prazos de licença suprimidos; colagem em postes/árvores proibida (180); panfletos em residências vedados (182); multa ao anunciante
243,Tít. III — Cap. IX,Publicidade e propaganda (241–249; 249-A; 249-B),CONDENSADO,179–183,De ~20 artigos para 5; limite de 25% da fachada e prazos de licença suprimidos; colagem em postes/árvores proibida (180); panfletos em residências vedados (182); multa ao anunciante
244,Tít. III — Cap. IX,Publicidade e propaganda (241–249; 249-A; 249-B),CONDENSADO,179–183,De ~20 artigos para 5; limite de 25% da fachada e prazos de licença suprimidos; colagem em postes/árvores proibida (180); panfletos em residências vedados (182); multa ao anunciante
245,Tít. III — Cap. IX,Publicidade e propaganda (241–249; 249-A; 249-B),CONDENSADO,179–183,De ~20 artigos para 5; limite de 25% da fachada e prazos de licença suprimidos; colagem em postes/árvores proibida (180); panfletos em residências vedados (182); multa ao anunciante
246,Tít. III — Cap. IX,Publicidade e propaganda (241–249; 249-A; 249-B),CONDENSADO,179–183,De ~20 artigos para 5; limite de 25% da fachada e prazos de licença suprimidos; colagem em postes/árvores proibida (180); panfletos em residências vedados (182); multa ao anunciante
247,Tít. III — Cap. IX,Publicidade e propaganda (241–249; 249-A; 249-B),CONDENSADO,179–183,De ~20 artigos para 5; limite de 25% da fachada e prazos de licença suprimidos; colagem em postes/árvores proibida (180); panfletos em residências vedados (182); multa ao anunciante
248,Tít. III — Cap. IX,Publicidade e propaganda (241–249; 249-A; 249-B),CONDENSADO,179–183,De ~20 artigos para 5; limite de 25% da fachada e prazos de licença suprimidos; colagem em postes/árvores proibida (180); panfletos em residências vedados (182); multa ao anunciante
249,Tít. III — Cap. IX,Publicidade e propaganda (241–249; 249-A; 249-B),CONDENSADO,179–183,De ~20 artigos para 5; limite de 25% da fachada e prazos de licença suprimidos; colagem em postes/árvores proibida (180); panfletos em residências vedados (182); multa ao anunciante
250,Tít. III — Cap. X (Seção I),Conservação dos edifícios,ALTERADO,184–188,Pintura quinquenal obrigatória desaparece; interdição e demolição com rito detalhado; despesas +20% mantidas
251,Tít. III — Cap. X (Seção I),Conservação dos edifícios,ALTERADO,184–188,Pintura quinquenal obrigatória desaparece; interdição e demolição com rito detalhado; despesas +20% mantidas
252,Tít. III — Cap. X (Seção I),Conservação dos edifícios,ALTERADO,184–188,Pintura quinquenal obrigatória desaparece; interdição e demolição com rito detalhado; despesas +20% mantidas
253,Tít. III — Cap. X (Seção I),Conservação dos edifícios,ALTERADO,184–188,Pintura quinquenal obrigatória desaparece; interdição e demolição com rito detalhado; despesas +20% mantidas
254,Tít. III — Cap. X (Seção I),Conservação dos edifícios,ALTERADO,184–188,Pintura quinquenal obrigatória desaparece; interdição e demolição com rito detalhado; despesas +20% mantidas
255,Tít. III — Cap. X (Seção I),Conservação dos edifícios,ALTERADO,184–188,Pintura quinquenal obrigatória desaparece; interdição e demolição com rito detalhado; despesas +20% mantidas
256,Tít. III — Cap. X (Seção I),Conservação dos edifícios,ALTERADO,184–188,Pintura quinquenal obrigatória desaparece; interdição e demolição com rito detalhado; despesas +20% mantidas
257,Tít. III — Cap. X (Seção I),Conservação dos edifícios,ALTERADO,184–188,Pintura quinquenal obrigatória desaparece; interdição e demolição com rito detalhado; despesas +20% mantidas
258,Tít. III — Cap. X (Seção I),Conservação dos edifícios,ALTERADO,184–188,Pintura quinquenal obrigatória desaparece; interdição e demolição com rito detalhado; despesas +20% mantidas
259,Tít. III — Cap. X (Seção II),Utilização dos edifícios,REVOGADO_SEM_CORRESPONDENTE,—,Matéria do Código de Edificações e da lei de uso do solo
260,Tít. III — Cap. X (Seção II),Utilização dos edifícios,REVOGADO_SEM_CORRESPONDENTE,—,Matéria do Código de Edificações e da lei de uso do solo
261,Tít. III — Cap. X (Seção II),Utilização dos edifícios,REVOGADO_SEM_CORRESPONDENTE,—,Matéria do Código de Edificações e da lei de uso do solo
262,Tít. III — Cap. X (Seção II),Utilização dos edifícios,REVOGADO_SEM_CORRESPONDENTE,—,Matéria do Código de Edificações e da lei de uso do solo
263,Tít. III — Cap. X (Seção II),Utilização dos edifícios,REVOGADO_SEM_CORRESPONDENTE,—,Matéria do Código de Edificações e da lei de uso do solo
264,Tít. III — Cap. X (Seção II),Utilização dos edifícios,REVOGADO_SEM_CORRESPONDENTE,—,Matéria do Código de Edificações e da lei de uso do solo
265,Tít. III — Cap. X (Seção III),Iluminação de galerias e vitrinas,REVOGADO_SEM_CORRESPONDENTE,—,Obrigação de manter vitrinas acesas das 18h às 22h desaparece
266,Tít. III — Cap. X (Seção III),Iluminação de galerias e vitrinas,REVOGADO_SEM_CORRESPONDENTE,—,Obrigação de manter vitrinas acesas das 18h às 22h desaparece
267,Tít. III — Cap. X (Seção IV),Vitrinas; balcões e mostruários,REVOGADO_SEM_CORRESPONDENTE,—,Sem correspondente
268,Tít. III — Cap. X (Seção IV),Vitrinas; balcões e mostruários,REVOGADO_SEM_CORRESPONDENTE,—,Sem correspondente
269,Tít. III — Cap. X (Seção IV),Vitrinas; balcões e mostruários,REVOGADO_SEM_CORRESPONDENTE,—,Sem correspondente
270,Tít. III — Cap. X (Seção V),Estores,MANTIDO,189–191,Texto quase literal
271,Tít. III — Cap. X (Seção V),Estores,MANTIDO,189–191,Texto quase literal
272,Tít. III — Cap. X (Seção V),Estores,MANTIDO,189–191,Texto quase literal
273,Tít. III — Cap. X (Seção VI),Toldos,MANTIDO,192–194,Requisitos técnicos preservados; detalhes de recuo suprimidos
274,Tít. III — Cap. X (Seção VI),Toldos,MANTIDO,192–194,Requisitos técnicos preservados; detalhes de recuo suprimidos
275,Tít. III — Cap. X (Seção VI),Toldos,MANTIDO,192–194,Requisitos técnicos preservados; detalhes de recuo suprimidos
276,Tít. III — Cap. X (Seção VII),Mastros nas fachadas,REVOGADO_SEM_CORRESPONDENTE,—,Sem correspondente
277,Tít. III — Cap. XI,Muros; cercas e fechos divisórios,CONDENSADO,196–201,"Obrigação de murar terrenos mantida; altura padrão (2,20 m) e tipologias detalhadas suprimidas"
278,Tít. III — Cap. XI,Muros; cercas e fechos divisórios,CONDENSADO,196–201,"Obrigação de murar terrenos mantida; altura padrão (2,20 m) e tipologias detalhadas suprimidas"
279,Tít. III — Cap. XI,Muros; cercas e fechos divisórios,CONDENSADO,196–201,"Obrigação de murar terrenos mantida; altura padrão (2,20 m) e tipologias detalhadas suprimidas"
280,Tít. III — Cap. XI,Muros; cercas e fechos divisórios,CONDENSADO,196–201,"Obrigação de murar terrenos mantida; altura padrão (2,20 m) e tipologias detalhadas suprimidas"
281,Tít. III — Cap. XI,Muros; cercas e fechos divisórios,CONDENSADO,196–201,"Obrigação de murar terrenos mantida; altura padrão (2,20 m) e tipologias detalhadas suprimidas"
282,Tít. III — Cap. XI,Muros; cercas e fechos divisórios,CONDENSADO,196–201,"Obrigação de murar terrenos mantida; altura padrão (2,20 m) e tipologias detalhadas suprimidas"
283,Tít. III — Cap. XI,Muros; cercas e fechos divisórios,CONDENSADO,196–201,"Obrigação de murar terrenos mantida; altura padrão (2,20 m) e tipologias detalhadas suprimidas"
284,Tít. III — Cap. XI,Muros; cercas e fechos divisórios,CONDENSADO,196–201,"Obrigação de murar terrenos mantida; altura padrão (2,20 m) e tipologias detalhadas suprimidas"
285,Tít. III — Cap. XI,Muros; cercas e fechos divisórios,CONDENSADO,196–201,"Obrigação de murar terrenos mantida; altura padrão (2,20 m) e tipologias detalhadas suprimidas"
286,Tít. III — Cap. XII,Prevenção contra incêndios,REMETIDO,202–203,Remissão integral ao Corpo de Bombeiros e ao Código de Edificações; multa fixa de 405 UFESP
287,Tít. III — Cap. XII,Prevenção contra incêndios,REMETIDO,202–203,Remissão integral ao Corpo de Bombeiros e ao Código de Edificações; multa fixa de 405 UFESP
288,Tít. III — Cap. XII,Prevenção contra incêndios,REMETIDO,202–203,Remissão integral ao Corpo de Bombeiros e ao Código de Edificações; multa fixa de 405 UFESP
289,Tít. III — Cap. XII,Prevenção contra incêndios,REMETIDO,202–203,Remissão integral ao Corpo de Bombeiros e ao Código de Edificações; multa fixa de 405 UFESP
290,Tít. III — Cap. XIII,Animais (290–300; 300-A; 300-B),ALTERADO,204–214,Charretes/carroças proibidas (210 III); cães na praia em área/horário definidos (206); banho e tosa com câmeras mantido mas guarda de imagens cai de 60 para 30 dias e hotéis saem do rol (212) [Verificar]; maus-tratos com definição genérica
291,Tít. III — Cap. XIII,Animais (290–300; 300-A; 300-B),ALTERADO,204–214,Charretes/carroças proibidas (210 III); cães na praia em área/horário definidos (206); banho e tosa com câmeras mantido mas guarda de imagens cai de 60 para 30 dias e hotéis saem do rol (212) [Verificar]; maus-tratos com definição genérica
292,Tít. III — Cap. XIII,Animais (290–300; 300-A; 300-B),ALTERADO,204–214,Charretes/carroças proibidas (210 III); cães na praia em área/horário definidos (206); banho e tosa com câmeras mantido mas guarda de imagens cai de 60 para 30 dias e hotéis saem do rol (212) [Verificar]; maus-tratos com definição genérica
293,Tít. III — Cap. XIII,Animais (290–300; 300-A; 300-B),ALTERADO,204–214,Charretes/carroças proibidas (210 III); cães na praia em área/horário definidos (206); banho e tosa com câmeras mantido mas guarda de imagens cai de 60 para 30 dias e hotéis saem do rol (212) [Verificar]; maus-tratos com definição genérica
294,Tít. III — Cap. XIII,Animais (290–300; 300-A; 300-B),ALTERADO,204–214,Charretes/carroças proibidas (210 III); cães na praia em área/horário definidos (206); banho e tosa com câmeras mantido mas guarda de imagens cai de 60 para 30 dias e hotéis saem do rol (212) [Verificar]; maus-tratos com definição genérica
295,Tít. III — Cap. XIII,Animais (290–300; 300-A; 300-B),ALTERADO,204–214,Charretes/carroças proibidas (210 III); cães na praia em área/horário definidos (206); banho e tosa com câmeras mantido mas guarda de imagens cai de 60 para 30 dias e hotéis saem do rol (212) [Verificar]; maus-tratos com definição genérica
296,Tít. III — Cap. XIII,Animais (290–300; 300-A; 300-B),ALTERADO,204–214,Charretes/carroças proibidas (210 III); cães na praia em área/horário definidos (206); banho e tosa com câmeras mantido mas guarda de imagens cai de 60 para 30 dias e hotéis saem do rol (212) [Verificar]; maus-tratos com definição genérica
297,Tít. III — Cap. XIII,Animais (290–300; 300-A; 300-B),ALTERADO,204–214,Charretes/carroças proibidas (210 III); cães na praia em área/horário definidos (206); banho e tosa com câmeras mantido mas guarda de imagens cai de 60 para 30 dias e hotéis saem do rol (212) [Verificar]; maus-tratos com definição genérica
298,Tít. III — Cap. XIII,Animais (290–300; 300-A; 300-B),ALTERADO,204–214,Charretes/carroças proibidas (210 III); cães na praia em área/horário definidos (206); banho e tosa com câmeras mantido mas guarda de imagens cai de 60 para 30 dias e hotéis saem do rol (212) [Verificar]; maus-tratos com definição genérica
